"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","B13_genomic","GCA_000409585.1_Hal1_genomic.NN","GCA_000735115.1_ASM73511v1_genomic.NM","GCA_000982455.1_ASM98245v1_genomic.NM","GCA_003336815.1_ASM333681v1_genomic.NM","GCA_004328925.1_ASM432892v1_genomic.NM","GCA_008831405.1_ASM883140v1_genomic.NM","GCA_011456075.1_ASM1145607v1_genomic.NM","GCA_013186645.1_ASM1318664v1_genomic.NM","GCA_013393725.1_ASM1339372v1_genomic.NM","GCA_018122435.1_ASM1812243v1_genomic.NN","GCA_018122445.1_ASM1812244v1_genomic.NN","GCA_018122455.1_ASM1812245v1_genomic.NN","GCA_018122465.1_ASM1812246v1_genomic.NN","GCA_018122475.1_ASM1812247v1_genomic.NN","GCA_018122535.1_ASM1812253v1_genomic.NN","GCA_019583555.1_ASM1958355v1_genomic.NN","GCA_022700895.1_ASM2270089v1_genomic.NN","GCA_023518255.2_ASM2351825v2_genomic.NM","GCA_024262185.1_ASM2426218v1_genomic.NM","GCA_030519455.1_ASM3051945v1_genomic.NM","GCA_030643765.1_ASM3064376v1_genomic.NM","GCA_032598945.1_ASM3259894v1_genomic.NN","GCA_036218465.1_ASM3621846v1_genomic.NM","GCA_036231745.1_ASM3623174v1_genomic.NM","GCA_038762065.1_ASM3876206v1_genomic.NM","GCA_038898345.1_ASM3889834v1_genomic.NM","GCA_040278585.1_ASM4027858v1_genomic.NM","GCA_050908195.1_ASM5090819v1_genomic.NN","GCA_051851495.1_ASM5185149v1_genomic.NM","GCA_052976505.1_ASM5297650v1_genomic.NN","GCA_053570475.1_ASM5357047v1_genomic.NM"
"ybeY","","Endoribonuclease YbeY","32","32","1","114","8910","","","","473","473","473","CBPJGFDI_00592","JOALHOIP_03125","PLLECCHL_01742","CKPFFKFG_00630","EJLPBIDD_04132","KBFHEIFM_02580","LHNFOEJC_02545","OPAAANOD_00879","CBBMCBHD_01130","DDCFCBDF_01170","DFPKOMDA_02735","KAALHNMO_01060","MMHBEFPG_03008","ALMECFFD_02999","MLEOMEED_01229","AGNKOGBN_01931","NADAGIKK_03272","ADNDDJPL_01060","KKOACABF_01897","OCCFHEHO_01721","MDCBHCFC_00606","ELIPLHKN_02300","GIOCAJEK_02465","KINKNFBI_00222","PLHLKKDO_00621","FNPFPPAG_02564","MPDACFMJ_01582","DNCMPOJM_02601","LCJDOLDM_03593","AKHABIKF_03381","DHKOHJCB_02652","FAMPPICK_02695"
"dgkA","","Undecaprenol kinase","32","32","1","114","8911","","","","371","371","371","CBPJGFDI_00593","JOALHOIP_03126","PLLECCHL_01741","CKPFFKFG_00629","EJLPBIDD_04131","KBFHEIFM_02579","LHNFOEJC_02544","OPAAANOD_00878","CBBMCBHD_01131","DDCFCBDF_01171","DFPKOMDA_02736","KAALHNMO_01061","MMHBEFPG_03009","ALMECFFD_03000","MLEOMEED_01228","AGNKOGBN_01932","NADAGIKK_03273","ADNDDJPL_01061","KKOACABF_01896","OCCFHEHO_01720","MDCBHCFC_00607","ELIPLHKN_02301","GIOCAJEK_02464","KINKNFBI_00223","PLHLKKDO_00622","FNPFPPAG_02563","MPDACFMJ_01581","DNCMPOJM_02600","LCJDOLDM_03592","AKHABIKF_03380","DHKOHJCB_02651","FAMPPICK_02694"
"cdd","","Cytidine deaminase","32","32","1","114","8912","","","","410","410","410","CBPJGFDI_00594","JOALHOIP_03127","PLLECCHL_01740","CKPFFKFG_00628","EJLPBIDD_04130","KBFHEIFM_02578","LHNFOEJC_02543","OPAAANOD_00877","CBBMCBHD_01132","DDCFCBDF_01172","DFPKOMDA_02737","KAALHNMO_01062","MMHBEFPG_03010","ALMECFFD_03001","MLEOMEED_01227","AGNKOGBN_01933","NADAGIKK_03274","ADNDDJPL_01062","KKOACABF_01895","OCCFHEHO_01719","MDCBHCFC_00608","ELIPLHKN_02302","GIOCAJEK_02463","KINKNFBI_00224","PLHLKKDO_00623","FNPFPPAG_02562","MPDACFMJ_01580","DNCMPOJM_02599","LCJDOLDM_03591","AKHABIKF_03379","DHKOHJCB_02650","FAMPPICK_02693"
"glyS","","Glycine--tRNA ligase beta subunit","32","32","1","114","8917","","","","2039","2039","2039","CBPJGFDI_00599","JOALHOIP_03132","PLLECCHL_01735","CKPFFKFG_00623","EJLPBIDD_04125","KBFHEIFM_02573","LHNFOEJC_02538","OPAAANOD_00871","CBBMCBHD_01137","DDCFCBDF_01177","DFPKOMDA_02742","KAALHNMO_01067","MMHBEFPG_03015","ALMECFFD_03006","MLEOMEED_01222","AGNKOGBN_01938","NADAGIKK_03279","ADNDDJPL_01067","KKOACABF_01890","OCCFHEHO_01714","MDCBHCFC_00613","ELIPLHKN_02307","GIOCAJEK_02458","KINKNFBI_00229","PLHLKKDO_00628","FNPFPPAG_02557","MPDACFMJ_01575","DNCMPOJM_02594","LCJDOLDM_03586","AKHABIKF_03374","DHKOHJCB_02645","FAMPPICK_02688"
"group_3079","","hypothetical protein","32","32","1","114","8920","","","","494","494","494","CBPJGFDI_00602","JOALHOIP_03135","PLLECCHL_01732","CKPFFKFG_00620","EJLPBIDD_04122","KBFHEIFM_02570","LHNFOEJC_02535","OPAAANOD_00868","CBBMCBHD_01140","DDCFCBDF_01180","DFPKOMDA_02745","KAALHNMO_01070","MMHBEFPG_03752","ALMECFFD_03009","MLEOMEED_01219","AGNKOGBN_01941","NADAGIKK_03282","ADNDDJPL_01070","KKOACABF_01887","OCCFHEHO_01711","MDCBHCFC_00616","ELIPLHKN_02310","GIOCAJEK_02455","KINKNFBI_00232","PLHLKKDO_00631","FNPFPPAG_02554","MPDACFMJ_01572","DNCMPOJM_02591","LCJDOLDM_03583","AKHABIKF_03371","DHKOHJCB_02642","FAMPPICK_02685"
"group_3080","","GTP cyclohydrolase 1 type 2 ","32","32","1","114","8925","","","","1121","1121","1121","CBPJGFDI_00607","JOALHOIP_03140","PLLECCHL_01727","CKPFFKFG_00615","EJLPBIDD_04117","KBFHEIFM_02565","LHNFOEJC_02530","OPAAANOD_00863","CBBMCBHD_01145","DDCFCBDF_01185","DFPKOMDA_02750","KAALHNMO_01075","MMHBEFPG_00593","ALMECFFD_03014","MLEOMEED_01214","AGNKOGBN_01946","NADAGIKK_02632","ADNDDJPL_01075","KKOACABF_01882","OCCFHEHO_01706","MDCBHCFC_00621","ELIPLHKN_02315","GIOCAJEK_02450","KINKNFBI_00237","PLHLKKDO_00636","FNPFPPAG_02549","MPDACFMJ_01567","DNCMPOJM_02586","LCJDOLDM_03578","AKHABIKF_03366","DHKOHJCB_02637","FAMPPICK_02680"
"cshB","","DEAD-box ATP-dependent RNA helicase CshB","32","32","1","114","8929","","","","1316","1316","1316","CBPJGFDI_00610","JOALHOIP_03142","PLLECCHL_01724","CKPFFKFG_00612","EJLPBIDD_04114","KBFHEIFM_02562","LHNFOEJC_02527","OPAAANOD_00860","CBBMCBHD_01148","DDCFCBDF_01188","DFPKOMDA_02753","KAALHNMO_01078","MMHBEFPG_00596","ALMECFFD_03017","MLEOMEED_01211","AGNKOGBN_01949","NADAGIKK_02635","ADNDDJPL_01078","KKOACABF_01879","OCCFHEHO_01703","MDCBHCFC_00624","ELIPLHKN_02318","GIOCAJEK_02447","KINKNFBI_00240","PLHLKKDO_00639","FNPFPPAG_02546","MPDACFMJ_01564","DNCMPOJM_02583","LCJDOLDM_03575","AKHABIKF_03363","DHKOHJCB_02634","FAMPPICK_02677"
"group_3082","","hypothetical protein","32","32","1","114","8931","","","","254","254","254","CBPJGFDI_00612","JOALHOIP_03144","PLLECCHL_01722","CKPFFKFG_00610","EJLPBIDD_04112","KBFHEIFM_02560","LHNFOEJC_02525","OPAAANOD_00858","CBBMCBHD_01150","DDCFCBDF_01190","DFPKOMDA_02755","KAALHNMO_01080","MMHBEFPG_00598","ALMECFFD_03019","MLEOMEED_01209","AGNKOGBN_01951","NADAGIKK_02637","ADNDDJPL_01080","KKOACABF_01877","OCCFHEHO_01701","MDCBHCFC_00626","ELIPLHKN_02320","GIOCAJEK_02445","KINKNFBI_00242","PLHLKKDO_00641","FNPFPPAG_02544","MPDACFMJ_01562","DNCMPOJM_02581","LCJDOLDM_03573","AKHABIKF_03361","DHKOHJCB_02632","FAMPPICK_02675"
"zur","","Zinc-specific metallo-regulatory protein","32","32","1","114","8933","","","","437","446","437","CBPJGFDI_00614","JOALHOIP_03146","PLLECCHL_01720","CKPFFKFG_00608","EJLPBIDD_04110","KBFHEIFM_02558","LHNFOEJC_02523","OPAAANOD_00856","CBBMCBHD_01940","DDCFCBDF_01192","DFPKOMDA_02757","KAALHNMO_01082","MMHBEFPG_00600","ALMECFFD_00201","MLEOMEED_01207","AGNKOGBN_01953","NADAGIKK_02639","ADNDDJPL_01082","KKOACABF_01875","OCCFHEHO_01699","MDCBHCFC_00628","ELIPLHKN_02322","GIOCAJEK_02443","KINKNFBI_00244","PLHLKKDO_00643","FNPFPPAG_02542","MPDACFMJ_01560","DNCMPOJM_02579","LCJDOLDM_03571","AKHABIKF_03359","DHKOHJCB_02630","FAMPPICK_02673"
"group_3084","","Nucleotidase","32","32","1","114","8934","","","","581","581","581","CBPJGFDI_00615","JOALHOIP_03147","PLLECCHL_01719","CKPFFKFG_00607","EJLPBIDD_04109","KBFHEIFM_02557","LHNFOEJC_02522","OPAAANOD_00855","CBBMCBHD_01939","DDCFCBDF_01193","DFPKOMDA_02758","KAALHNMO_01083","MMHBEFPG_00601","ALMECFFD_00200","MLEOMEED_01206","AGNKOGBN_01954","NADAGIKK_02640","ADNDDJPL_01083","KKOACABF_01874","OCCFHEHO_01698","MDCBHCFC_00629","ELIPLHKN_02323","GIOCAJEK_02442","KINKNFBI_00245","PLHLKKDO_00644","FNPFPPAG_02541","MPDACFMJ_01559","DNCMPOJM_02578","LCJDOLDM_03570","AKHABIKF_03358","DHKOHJCB_02629","FAMPPICK_02672"
"group_3085","","hypothetical protein","32","32","1","114","8935","","","","383","383","383","CBPJGFDI_00616","JOALHOIP_03148","PLLECCHL_01718","CKPFFKFG_00606","EJLPBIDD_04108","KBFHEIFM_02556","LHNFOEJC_02521","OPAAANOD_00854","CBBMCBHD_01938","DDCFCBDF_01194","DFPKOMDA_02759","KAALHNMO_01084","MMHBEFPG_00602","ALMECFFD_00199","MLEOMEED_01205","AGNKOGBN_01955","NADAGIKK_02641","ADNDDJPL_01084","KKOACABF_01873","OCCFHEHO_01697","MDCBHCFC_00630","ELIPLHKN_02324","GIOCAJEK_02441","KINKNFBI_00246","PLHLKKDO_00645","FNPFPPAG_02540","MPDACFMJ_01558","DNCMPOJM_02577","LCJDOLDM_03569","AKHABIKF_03357","DHKOHJCB_02628","FAMPPICK_02671"
"pstS1","","Phosphate-binding protein PstS 1","32","32","1","114","8944","","","","902","1088","919","CBPJGFDI_00624","JOALHOIP_03156","PLLECCHL_01709","CKPFFKFG_00598","EJLPBIDD_04098","KBFHEIFM_02548","LHNFOEJC_02513","OPAAANOD_00846","CBBMCBHD_01930","DDCFCBDF_01202","DFPKOMDA_02768","KAALHNMO_02751","MMHBEFPG_00610","ALMECFFD_00191","MLEOMEED_01196","AGNKOGBN_00745","NADAGIKK_02649","ADNDDJPL_01093","KKOACABF_01865","OCCFHEHO_01689","MDCBHCFC_00638","ELIPLHKN_02333","GIOCAJEK_02432","KINKNFBI_00254","PLHLKKDO_00653","FNPFPPAG_02532","MPDACFMJ_01550","DNCMPOJM_02569","LCJDOLDM_03561","AKHABIKF_03349","DHKOHJCB_02620","FAMPPICK_02662"
"pstB3_2","","Phosphate import ATP-binding protein PstB 3","32","32","1","114","8947","","","","809","809","809","CBPJGFDI_00627","JOALHOIP_03159","PLLECCHL_01706","CKPFFKFG_00595","EJLPBIDD_04095","KBFHEIFM_02545","LHNFOEJC_02510","OPAAANOD_00843","CBBMCBHD_01927","DDCFCBDF_01205","DFPKOMDA_02771","KAALHNMO_02748","MMHBEFPG_00613","ALMECFFD_00188","MLEOMEED_01193","AGNKOGBN_00748","NADAGIKK_02652","ADNDDJPL_01096","KKOACABF_01862","OCCFHEHO_01686","MDCBHCFC_00641","ELIPLHKN_02336","GIOCAJEK_02429","KINKNFBI_00257","PLHLKKDO_00656","FNPFPPAG_02529","MPDACFMJ_01547","DNCMPOJM_02566","LCJDOLDM_03558","AKHABIKF_03346","DHKOHJCB_02617","FAMPPICK_02659"
"pstB3_1","","Phosphate import ATP-binding protein PstB 3","32","32","1","114","8949","","","","782","782","782","CBPJGFDI_00628","JOALHOIP_03160","PLLECCHL_01705","CKPFFKFG_00594","EJLPBIDD_04094","KBFHEIFM_02544","LHNFOEJC_02509","OPAAANOD_00842","CBBMCBHD_01926","DDCFCBDF_01206","DFPKOMDA_02772","KAALHNMO_02747","MMHBEFPG_00614","ALMECFFD_00187","MLEOMEED_01192","AGNKOGBN_00749","NADAGIKK_02653","ADNDDJPL_01097","KKOACABF_01861","OCCFHEHO_01685","MDCBHCFC_00642","ELIPLHKN_02337","GIOCAJEK_02428","KINKNFBI_00258","PLHLKKDO_00657","FNPFPPAG_02528","MPDACFMJ_01546","DNCMPOJM_02565","LCJDOLDM_03557","AKHABIKF_03345","DHKOHJCB_02616","FAMPPICK_02658"
"group_3089","","hypothetical protein","32","32","1","114","8960","","","","173","173","173","CBPJGFDI_00635","JOALHOIP_03167","PLLECCHL_01698","CKPFFKFG_00587","EJLPBIDD_04087","KBFHEIFM_02537","LHNFOEJC_02502","OPAAANOD_00835","CBBMCBHD_01919","DDCFCBDF_01213","DFPKOMDA_02779","KAALHNMO_02740","MMHBEFPG_00621","ALMECFFD_00180","MLEOMEED_01185","AGNKOGBN_00756","NADAGIKK_02660","ADNDDJPL_01104","KKOACABF_01854","OCCFHEHO_01678","MDCBHCFC_00649","ELIPLHKN_02344","GIOCAJEK_02421","KINKNFBI_00265","PLHLKKDO_00664","FNPFPPAG_02521","MPDACFMJ_01539","DNCMPOJM_02558","LCJDOLDM_03549","AKHABIKF_03338","DHKOHJCB_02609","FAMPPICK_02651"
"glcK","","Glucokinase","32","32","1","114","8964","","","","965","965","965","CBPJGFDI_00638","JOALHOIP_03170","PLLECCHL_01695","CKPFFKFG_00584","EJLPBIDD_04084","KBFHEIFM_02534","LHNFOEJC_02499","OPAAANOD_00832","CBBMCBHD_01916","DDCFCBDF_01216","DFPKOMDA_02782","KAALHNMO_02737","MMHBEFPG_00624","ALMECFFD_00177","MLEOMEED_01182","AGNKOGBN_00759","NADAGIKK_02663","ADNDDJPL_01107","KKOACABF_01851","OCCFHEHO_01675","MDCBHCFC_00652","ELIPLHKN_02347","GIOCAJEK_02418","KINKNFBI_00268","PLHLKKDO_00667","FNPFPPAG_02518","MPDACFMJ_01536","DNCMPOJM_02555","LCJDOLDM_03546","AKHABIKF_03335","DHKOHJCB_02606","FAMPPICK_02648"
"corA_1","","Magnesium transport protein CorA","32","32","1","114","8979","","","","944","953","952","CBPJGFDI_00650","JOALHOIP_03181","PLLECCHL_01683","CKPFFKFG_00572","EJLPBIDD_04070","KBFHEIFM_02522","LHNFOEJC_02487","OPAAANOD_00820","CBBMCBHD_02441","DDCFCBDF_01228","DFPKOMDA_02794","KAALHNMO_02565","MMHBEFPG_00756","ALMECFFD_00165","MLEOMEED_01170","AGNKOGBN_00771","NADAGIKK_02675","ADNDDJPL_01119","KKOACABF_01839","OCCFHEHO_01663","MDCBHCFC_00664","ELIPLHKN_02359","GIOCAJEK_02406","KINKNFBI_00280","PLHLKKDO_00679","FNPFPPAG_02506","MPDACFMJ_01524","DNCMPOJM_02543","LCJDOLDM_03534","AKHABIKF_03323","DHKOHJCB_02594","FAMPPICK_02636"
"comGA","","ComG operon protein 1","32","32","1","114","8987","","","","1070","1070","1070","CBPJGFDI_00653","JOALHOIP_03183","PLLECCHL_01680","CKPFFKFG_00569","EJLPBIDD_04069","KBFHEIFM_02519","LHNFOEJC_02484","OPAAANOD_00818","CBBMCBHD_02444","DDCFCBDF_01231","DFPKOMDA_02796","KAALHNMO_02563","MMHBEFPG_00754","ALMECFFD_00163","MLEOMEED_01168","AGNKOGBN_00773","NADAGIKK_02677","ADNDDJPL_01121","KKOACABF_01836","OCCFHEHO_01661","MDCBHCFC_00666","ELIPLHKN_02361","GIOCAJEK_02403","KINKNFBI_00282","PLHLKKDO_00681","FNPFPPAG_02504","MPDACFMJ_01522","DNCMPOJM_02542","LCJDOLDM_03532","AKHABIKF_03321","DHKOHJCB_02592","FAMPPICK_02634"
"tasA","","Major biofilm matrix component","32","32","1","114","9000","","","","785","785","785","CBPJGFDI_00664","JOALHOIP_03194","PLLECCHL_01669","CKPFFKFG_00558","EJLPBIDD_05318","KBFHEIFM_02508","LHNFOEJC_02473","OPAAANOD_00807","CBBMCBHD_02455","DDCFCBDF_01242","DFPKOMDA_02807","KAALHNMO_02552","MMHBEFPG_00743","ALMECFFD_00152","MLEOMEED_01157","AGNKOGBN_04020","NADAGIKK_02688","ADNDDJPL_01132","KKOACABF_01825","OCCFHEHO_01650","MDCBHCFC_00677","ELIPLHKN_02372","GIOCAJEK_02392","KINKNFBI_00293","PLHLKKDO_00692","FNPFPPAG_02493","MPDACFMJ_01511","DNCMPOJM_02531","LCJDOLDM_03521","AKHABIKF_03310","DHKOHJCB_02581","FAMPPICK_02623"
"sinR","","HTH-type transcriptional regulator SinR","32","32","1","114","9001","","","","341","386","342","CBPJGFDI_00665","JOALHOIP_03195","PLLECCHL_01668","CKPFFKFG_00557","EJLPBIDD_05317","KBFHEIFM_02507","LHNFOEJC_02472","OPAAANOD_00806","CBBMCBHD_02456","DDCFCBDF_01243","DFPKOMDA_02808","KAALHNMO_02551","MMHBEFPG_00742","ALMECFFD_00151","MLEOMEED_01156","AGNKOGBN_04019","NADAGIKK_02689","ADNDDJPL_01133","KKOACABF_01824","OCCFHEHO_01649","MDCBHCFC_00678","ELIPLHKN_02373","GIOCAJEK_02391","KINKNFBI_00294","PLHLKKDO_00693","FNPFPPAG_02492","MPDACFMJ_01510","DNCMPOJM_02530","LCJDOLDM_03520","AKHABIKF_03309","DHKOHJCB_02580","FAMPPICK_02622"
"sinI","","Protein SinI","32","32","1","114","9002","","","","173","173","173","CBPJGFDI_00666","JOALHOIP_03196","PLLECCHL_01667","CKPFFKFG_00556","EJLPBIDD_05316","KBFHEIFM_02506","LHNFOEJC_02471","OPAAANOD_00805","CBBMCBHD_02457","DDCFCBDF_01244","DFPKOMDA_02809","KAALHNMO_02550","MMHBEFPG_00741","ALMECFFD_00150","MLEOMEED_01155","AGNKOGBN_04018","NADAGIKK_02690","ADNDDJPL_01134","KKOACABF_01823","OCCFHEHO_01648","MDCBHCFC_00679","ELIPLHKN_02374","GIOCAJEK_02390","KINKNFBI_00295","PLHLKKDO_00694","FNPFPPAG_02491","MPDACFMJ_01509","DNCMPOJM_02529","LCJDOLDM_03519","AKHABIKF_03308","DHKOHJCB_02579","FAMPPICK_02621"
"gcvPA","","putative glycine dehydrogenase (decarboxylating) subunit 1","32","32","1","114","9007","","","","1346","1346","1346","CBPJGFDI_00670","JOALHOIP_03200","PLLECCHL_01663","CKPFFKFG_00552","EJLPBIDD_05312","KBFHEIFM_02502","LHNFOEJC_02467","OPAAANOD_00801","CBBMCBHD_02461","DDCFCBDF_01248","DFPKOMDA_02813","KAALHNMO_02546","MMHBEFPG_00737","ALMECFFD_00146","MLEOMEED_01151","AGNKOGBN_04014","NADAGIKK_02694","ADNDDJPL_01138","KKOACABF_01819","OCCFHEHO_01644","MDCBHCFC_00683","ELIPLHKN_02378","GIOCAJEK_02386","KINKNFBI_00299","PLHLKKDO_00698","FNPFPPAG_02487","MPDACFMJ_01505","DNCMPOJM_02525","LCJDOLDM_03515","AKHABIKF_03304","DHKOHJCB_02575","FAMPPICK_02617"
"glpE","","Thiosulfate sulfurtransferase GlpE","32","32","1","114","9009","","","","377","380","379","CBPJGFDI_00672","JOALHOIP_03202","PLLECCHL_01661","CKPFFKFG_00550","EJLPBIDD_05310","KBFHEIFM_02500","LHNFOEJC_02465","OPAAANOD_00799","CBBMCBHD_02463","DDCFCBDF_01250","DFPKOMDA_02815","KAALHNMO_02544","MMHBEFPG_00735","ALMECFFD_00144","MLEOMEED_01149","AGNKOGBN_04012","NADAGIKK_02696","ADNDDJPL_01140","KKOACABF_01817","OCCFHEHO_01642","MDCBHCFC_00685","ELIPLHKN_02380","GIOCAJEK_02384","KINKNFBI_00301","PLHLKKDO_00700","FNPFPPAG_02485","MPDACFMJ_01503","DNCMPOJM_02523","LCJDOLDM_03513","AKHABIKF_03302","DHKOHJCB_02573","FAMPPICK_02615"
"group_3100","","hypothetical protein","32","32","1","114","9015","","","","956","956","956","CBPJGFDI_00677","JOALHOIP_03207","PLLECCHL_01656","CKPFFKFG_00545","EJLPBIDD_05305","KBFHEIFM_02495","LHNFOEJC_02460","OPAAANOD_00793","CBBMCBHD_02468","DDCFCBDF_01255","DFPKOMDA_02820","KAALHNMO_02539","MMHBEFPG_00730","ALMECFFD_00139","MLEOMEED_01144","AGNKOGBN_04007","NADAGIKK_02701","ADNDDJPL_01145","KKOACABF_01812","OCCFHEHO_01637","MDCBHCFC_00690","ELIPLHKN_02385","GIOCAJEK_02379","KINKNFBI_00306","PLHLKKDO_00705","FNPFPPAG_02480","MPDACFMJ_01498","DNCMPOJM_02518","LCJDOLDM_03508","AKHABIKF_03297","DHKOHJCB_02568","FAMPPICK_02610"
"spoIIIAB","","Stage III sporulation protein AB","32","32","1","114","9023","","","","515","515","515","CBPJGFDI_00684","JOALHOIP_03214","PLLECCHL_01649","CKPFFKFG_00538","EJLPBIDD_05297","KBFHEIFM_02488","LHNFOEJC_02453","OPAAANOD_00786","CBBMCBHD_02475","DDCFCBDF_01262","DFPKOMDA_02827","KAALHNMO_02532","MMHBEFPG_00723","ALMECFFD_00132","MLEOMEED_01137","AGNKOGBN_04000","NADAGIKK_02708","ADNDDJPL_01152","KKOACABF_01805","OCCFHEHO_01630","MDCBHCFC_00697","ELIPLHKN_02392","GIOCAJEK_02372","KINKNFBI_00313","PLHLKKDO_00712","FNPFPPAG_02473","MPDACFMJ_01491","DNCMPOJM_02511","LCJDOLDM_03501","AKHABIKF_03290","DHKOHJCB_02561","FAMPPICK_02603"
"spoIIIAF","","Stage III sporulation protein AF","32","32","1","114","9027","","","","620","620","620","CBPJGFDI_00688","JOALHOIP_03218","PLLECCHL_01645","CKPFFKFG_00534","EJLPBIDD_05293","KBFHEIFM_02484","LHNFOEJC_02449","OPAAANOD_00782","CBBMCBHD_02479","DDCFCBDF_01266","DFPKOMDA_02831","KAALHNMO_02528","MMHBEFPG_00719","ALMECFFD_00128","MLEOMEED_01133","AGNKOGBN_03996","NADAGIKK_02712","ADNDDJPL_01156","KKOACABF_01801","OCCFHEHO_01626","MDCBHCFC_00701","ELIPLHKN_02396","GIOCAJEK_02368","KINKNFBI_00317","PLHLKKDO_00716","FNPFPPAG_02469","MPDACFMJ_01487","DNCMPOJM_02507","LCJDOLDM_03497","AKHABIKF_03286","DHKOHJCB_02557","FAMPPICK_02599"
"xseA","","Exodeoxyribonuclease 7 large subunit","32","32","1","114","9035","","","","1346","1346","1346","CBPJGFDI_00696","JOALHOIP_03226","PLLECCHL_01637","CKPFFKFG_00526","EJLPBIDD_05285","KBFHEIFM_02476","LHNFOEJC_02441","OPAAANOD_00774","CBBMCBHD_02487","DDCFCBDF_01274","DFPKOMDA_02839","KAALHNMO_02520","MMHBEFPG_00711","ALMECFFD_00120","MLEOMEED_01125","AGNKOGBN_03988","NADAGIKK_02720","ADNDDJPL_01164","KKOACABF_01793","OCCFHEHO_01618","MDCBHCFC_00709","ELIPLHKN_02404","GIOCAJEK_02360","KINKNFBI_00325","PLHLKKDO_00724","FNPFPPAG_02461","MPDACFMJ_01479","DNCMPOJM_02499","LCJDOLDM_03489","AKHABIKF_03278","DHKOHJCB_02549","FAMPPICK_02591"
"recN","","DNA repair protein RecN","32","32","1","114","9042","","","","1730","1730","1730","CBPJGFDI_00702","JOALHOIP_03232","PLLECCHL_01631","CKPFFKFG_00520","EJLPBIDD_05278","KBFHEIFM_02470","LHNFOEJC_02435","OPAAANOD_00768","CBBMCBHD_02493","DDCFCBDF_01280","DFPKOMDA_02845","KAALHNMO_02514","MMHBEFPG_00705","ALMECFFD_00114","MLEOMEED_01119","AGNKOGBN_03982","NADAGIKK_02726","ADNDDJPL_01170","KKOACABF_01787","OCCFHEHO_01612","MDCBHCFC_00715","ELIPLHKN_02410","GIOCAJEK_02354","KINKNFBI_00331","PLHLKKDO_00730","FNPFPPAG_02455","MPDACFMJ_01473","DNCMPOJM_02493","LCJDOLDM_03483","AKHABIKF_03272","DHKOHJCB_02543","FAMPPICK_02585"
"mmgC","","Acyl-CoA dehydrogenase","32","32","1","114","9057","","","","1139","1139","1139","CBPJGFDI_00712","JOALHOIP_03240","PLLECCHL_01621","CKPFFKFG_00510","EJLPBIDD_05267","KBFHEIFM_02460","LHNFOEJC_02425","OPAAANOD_00758","CBBMCBHD_02503","DDCFCBDF_01290","DFPKOMDA_02855","KAALHNMO_02504","MMHBEFPG_00695","ALMECFFD_00104","MLEOMEED_01109","AGNKOGBN_03972","NADAGIKK_02736","ADNDDJPL_01180","KKOACABF_01777","OCCFHEHO_01602","MDCBHCFC_00725","ELIPLHKN_02420","GIOCAJEK_02344","KINKNFBI_00341","PLHLKKDO_00740","FNPFPPAG_02445","MPDACFMJ_01463","DNCMPOJM_02483","LCJDOLDM_03472","AKHABIKF_03262","DHKOHJCB_02533","FAMPPICK_02575"
"mmgE","","Citrate/2-methylcitrate dehydratase","32","32","1","114","9059","","","","1418","1418","1418","CBPJGFDI_00714","JOALHOIP_03242","PLLECCHL_01619","CKPFFKFG_00508","EJLPBIDD_05264","KBFHEIFM_02458","LHNFOEJC_02423","OPAAANOD_00756","CBBMCBHD_02505","DDCFCBDF_01292","DFPKOMDA_02857","KAALHNMO_02502","MMHBEFPG_00693","ALMECFFD_00102","MLEOMEED_01107","AGNKOGBN_03970","NADAGIKK_02738","ADNDDJPL_01182","KKOACABF_01775","OCCFHEHO_01600","MDCBHCFC_00727","ELIPLHKN_02422","GIOCAJEK_02342","KINKNFBI_00343","PLHLKKDO_00742","FNPFPPAG_02443","MPDACFMJ_01461","DNCMPOJM_02481","LCJDOLDM_03470","AKHABIKF_03260","DHKOHJCB_02531","FAMPPICK_02573"
"mmgF","","2-methylisocitrate lyase","32","32","1","114","9060","","","","905","905","905","CBPJGFDI_00715","JOALHOIP_03243","PLLECCHL_01618","CKPFFKFG_00507","EJLPBIDD_05263","KBFHEIFM_02457","LHNFOEJC_02422","OPAAANOD_00755","CBBMCBHD_02506","DDCFCBDF_01293","DFPKOMDA_02858","KAALHNMO_02501","MMHBEFPG_00692","ALMECFFD_00101","MLEOMEED_01106","AGNKOGBN_03969","NADAGIKK_02739","ADNDDJPL_01183","KKOACABF_01774","OCCFHEHO_01599","MDCBHCFC_00728","ELIPLHKN_02423","GIOCAJEK_02341","KINKNFBI_00344","PLHLKKDO_00743","FNPFPPAG_02442","MPDACFMJ_01460","DNCMPOJM_02480","LCJDOLDM_03469","AKHABIKF_03259","DHKOHJCB_02530","FAMPPICK_02572"
