Gene_Name,COG_Categories,Classification
OGCDPPDJ_02920,O,Stress Response
OGCDPPDJ_02933,T,Environmental Adaptation
OGCDPPDJ_02934,IQ,Environmental Adaptation
OGCDPPDJ_02937,EGP,Stress Response
OGCDPPDJ_02939,T,Environmental Adaptation
OGCDPPDJ_02942,T,Environmental Adaptation
OGCDPPDJ_02946,NT,Environmental Adaptation
OGCDPPDJ_02948,L,Stress Response
OGCDPPDJ_02958,P,Stress Response
OGCDPPDJ_02959,CO,Stress Response
OGCDPPDJ_02968,IQ,Environmental Adaptation
OGCDPPDJ_02975,O,Stress Response
OGCDPPDJ_02976,N,Environmental Adaptation
OGCDPPDJ_02977,N,Environmental Adaptation
OGCDPPDJ_02979,T,Environmental Adaptation
OGCDPPDJ_02992,L,Stress Response
OGCDPPDJ_02993,T,Environmental Adaptation
OGCDPPDJ_02997,P,Stress Response
OGCDPPDJ_02998,O,Stress Response
OGCDPPDJ_03003,P,Stress Response
OGCDPPDJ_03005,T,Environmental Adaptation
OGCDPPDJ_03006,L,Stress Response
OGCDPPDJ_03007,L,Stress Response
OGCDPPDJ_03017,P,Stress Response
OGCDPPDJ_03022,T,Environmental Adaptation
OGCDPPDJ_03023,T,Environmental Adaptation
OGCDPPDJ_03026,P,Stress Response
OGCDPPDJ_03027,P,Stress Response
OGCDPPDJ_03028,T,Environmental Adaptation
OGCDPPDJ_03029,O,Stress Response
OGCDPPDJ_03033,O,Stress Response
OGCDPPDJ_03035,O,Stress Response
OGCDPPDJ_03039,P,Stress Response
OGCDPPDJ_03040,P,Stress Response
OGCDPPDJ_03052,V,Stress Response
OGCDPPDJ_03055,P,Stress Response
OGCDPPDJ_03056,EP,Stress Response
OGCDPPDJ_03057,P,Stress Response
OGCDPPDJ_03060,O,Stress Response
OGCDPPDJ_03066,P,Stress Response
OGCDPPDJ_03067,P,Stress Response
OGCDPPDJ_03084,L,Stress Response
OGCDPPDJ_03093,L,Stress Response
OGCDPPDJ_03096,L,Stress Response
OGCDPPDJ_03101,L,Stress Response
OGCDPPDJ_03106,P,Stress Response
OGCDPPDJ_03113,O,Stress Response
OGCDPPDJ_03120,IQ,Environmental Adaptation
OGCDPPDJ_03130,P,Stress Response
OGCDPPDJ_03142,T,Environmental Adaptation
OGCDPPDJ_03143,O,Stress Response
OGCDPPDJ_03148,O,Stress Response
OGCDPPDJ_03157,GKT,Environmental Adaptation
OGCDPPDJ_03159,IQ,Environmental Adaptation
OGCDPPDJ_03165,KLT,Both
OGCDPPDJ_03179,MT,Environmental Adaptation
OGCDPPDJ_03185,L,Stress Response
OGCDPPDJ_03189,N,Environmental Adaptation
OGCDPPDJ_03194,N,Environmental Adaptation
OGCDPPDJ_03196,OU,Both
OGCDPPDJ_03199,L,Stress Response
OGCDPPDJ_03200,L,Stress Response
OGCDPPDJ_03210,L,Stress Response
OGCDPPDJ_03221,L,Stress Response
OGCDPPDJ_03244,L,Stress Response
OGCDPPDJ_03247,L,Stress Response
OGCDPPDJ_03248,L,Stress Response
OGCDPPDJ_03261,L,Stress Response
OGCDPPDJ_03262,L,Stress Response
OGCDPPDJ_03265,L,Stress Response
OGCDPPDJ_03274,L,Stress Response
OGCDPPDJ_03280,P,Stress Response
OGCDPPDJ_03284,L,Stress Response
OGCDPPDJ_03303,P,Stress Response
OGCDPPDJ_03304,T,Environmental Adaptation
OGCDPPDJ_03312,Q,Environmental Adaptation
OGCDPPDJ_03316,NOT,Both
OGCDPPDJ_03317,P,Stress Response
OGCDPPDJ_03320,EGP,Stress Response
OGCDPPDJ_03322,P,Stress Response
OGCDPPDJ_03323,EP,Stress Response
OGCDPPDJ_03324,P,Stress Response
OGCDPPDJ_03328,EP,Stress Response
OGCDPPDJ_03329,P,Stress Response
OGCDPPDJ_03332,P,Stress Response
OGCDPPDJ_03333,O,Stress Response
OGCDPPDJ_03373,EGP,Stress Response
OGCDPPDJ_03379,P,Stress Response
OGCDPPDJ_03380,P,Stress Response
OGCDPPDJ_03389,V,Stress Response
OGCDPPDJ_03394,O,Stress Response
OGCDPPDJ_03396,Q,Environmental Adaptation
OGCDPPDJ_03405,V,Stress Response
OGCDPPDJ_03406,L,Stress Response
OGCDPPDJ_03407,L,Stress Response
OGCDPPDJ_03408,L,Stress Response
OGCDPPDJ_03409,L,Stress Response
OGCDPPDJ_03412,EGP,Stress Response
OGCDPPDJ_03421,U,Environmental Adaptation
OGCDPPDJ_03427,IQ,Environmental Adaptation
OGCDPPDJ_03430,IQ,Environmental Adaptation
OGCDPPDJ_03432,NT,Environmental Adaptation
OGCDPPDJ_03434,IQ,Environmental Adaptation
OGCDPPDJ_03440,O,Stress Response
OGCDPPDJ_03441,O,Stress Response
OGCDPPDJ_03443,IQ,Environmental Adaptation
OGCDPPDJ_03463,U,Environmental Adaptation
OGCDPPDJ_03464,V,Stress Response
OGCDPPDJ_03474,L,Stress Response
OGCDPPDJ_03475,L,Stress Response
OGCDPPDJ_03476,L,Stress Response
OGCDPPDJ_03477,CP,Stress Response
OGCDPPDJ_03482,P,Stress Response
OGCDPPDJ_03483,P,Stress Response
OGCDPPDJ_03486,L,Stress Response
OGCDPPDJ_03494,V,Stress Response
OGCDPPDJ_03495,V,Stress Response
OGCDPPDJ_03496,T,Environmental Adaptation
OGCDPPDJ_03506,P,Stress Response
OGCDPPDJ_03519,IQ,Environmental Adaptation
OGCDPPDJ_03523,P,Stress Response
OGCDPPDJ_03532,T,Environmental Adaptation
OGCDPPDJ_03550,U,Environmental Adaptation
OGCDPPDJ_03551,T,Environmental Adaptation
OGCDPPDJ_03555,V,Stress Response
OGCDPPDJ_03556,V,Stress Response
OGCDPPDJ_03561,EGP,Stress Response
OGCDPPDJ_03562,V,Stress Response
OGCDPPDJ_03565,T,Environmental Adaptation
OGCDPPDJ_03579,P,Stress Response
OGCDPPDJ_03581,P,Stress Response
OGCDPPDJ_03582,P,Stress Response
OGCDPPDJ_03598,P,Stress Response
OGCDPPDJ_03607,EGP,Stress Response
OGCDPPDJ_03613,P,Stress Response
OGCDPPDJ_03619,EGP,Stress Response
OGCDPPDJ_03628,U,Environmental Adaptation
OGCDPPDJ_03636,O,Stress Response
OGCDPPDJ_03642,CO,Stress Response
OGCDPPDJ_03646,P,Stress Response
OGCDPPDJ_03652,T,Environmental Adaptation
OGCDPPDJ_03660,P,Stress Response
OGCDPPDJ_03663,EGP,Stress Response
OGCDPPDJ_03679,EGP,Stress Response
OGCDPPDJ_03690,L,Stress Response
OGCDPPDJ_03704,KT,Environmental Adaptation
OGCDPPDJ_03707,T,Environmental Adaptation
OGCDPPDJ_03708,KT,Environmental Adaptation
OGCDPPDJ_03709,T,Environmental Adaptation
OGCDPPDJ_03710,T,Environmental Adaptation
OGCDPPDJ_03711,T,Environmental Adaptation
OGCDPPDJ_03712,L,Stress Response
OGCDPPDJ_03720,JKL,Stress Response
OGCDPPDJ_03723,CO,Stress Response
OGCDPPDJ_03724,P,Stress Response
OGCDPPDJ_03730,V,Stress Response
OGCDPPDJ_03732,U,Environmental Adaptation
OGCDPPDJ_03733,T,Environmental Adaptation
OGCDPPDJ_03734,T,Environmental Adaptation
OGCDPPDJ_03736,P,Stress Response
OGCDPPDJ_03740,P,Stress Response
OGCDPPDJ_03743,P,Stress Response
OGCDPPDJ_03746,L,Stress Response
OGCDPPDJ_03751,T,Environmental Adaptation
OGCDPPDJ_03753,L,Stress Response
OGCDPPDJ_03755,EGP,Stress Response
OGCDPPDJ_03756,U,Environmental Adaptation
OGCDPPDJ_03760,IQ,Environmental Adaptation
OGCDPPDJ_03761,Q,Environmental Adaptation
OGCDPPDJ_03762,IQ,Environmental Adaptation
OGCDPPDJ_03773,P,Stress Response
OGCDPPDJ_03778,Q,Environmental Adaptation
OGCDPPDJ_03779,U,Environmental Adaptation
OGCDPPDJ_03787,P,Stress Response
OGCDPPDJ_03789,IQ,Environmental Adaptation
OGCDPPDJ_03790,U,Environmental Adaptation
OGCDPPDJ_03798,EGP,Stress Response
OGCDPPDJ_03799,P,Stress Response
OGCDPPDJ_03800,P,Stress Response
OGCDPPDJ_03801,P,Stress Response
OGCDPPDJ_03802,P,Stress Response
OGCDPPDJ_03807,T,Environmental Adaptation
OGCDPPDJ_03808,T,Environmental Adaptation
OGCDPPDJ_03809,V,Stress Response
OGCDPPDJ_03810,P,Stress Response
OGCDPPDJ_03823,ET,Environmental Adaptation
OGCDPPDJ_03824,P,Stress Response
OGCDPPDJ_03831,EGP,Stress Response
OGCDPPDJ_03832,Q,Environmental Adaptation
OGCDPPDJ_03833,Q,Environmental Adaptation
OGCDPPDJ_03834,Q,Environmental Adaptation
OGCDPPDJ_03835,Q,Environmental Adaptation
OGCDPPDJ_03839,NT,Environmental Adaptation
OGCDPPDJ_03849,ET,Environmental Adaptation
OGCDPPDJ_03850,P,Stress Response
OGCDPPDJ_03854,P,Stress Response
OGCDPPDJ_03858,P,Stress Response
OGCDPPDJ_03864,QT,Environmental Adaptation
OGCDPPDJ_03869,Q,Environmental Adaptation
OGCDPPDJ_03871,Q,Environmental Adaptation
OGCDPPDJ_03881,EGP,Stress Response
OGCDPPDJ_03889,P,Stress Response
OGCDPPDJ_03892,EGP,Stress Response
OGCDPPDJ_03893,P,Stress Response
OGCDPPDJ_03894,P,Stress Response
OGCDPPDJ_03896,P,Stress Response
OGCDPPDJ_03897,T,Environmental Adaptation
OGCDPPDJ_03898,T,Environmental Adaptation
OGCDPPDJ_03899,T,Environmental Adaptation
OGCDPPDJ_03901,P,Stress Response
OGCDPPDJ_03902,P,Stress Response
OGCDPPDJ_03903,P,Stress Response
OGCDPPDJ_03905,IQ,Environmental Adaptation
OGCDPPDJ_03912,CP,Stress Response
OGCDPPDJ_03913,CP,Stress Response
OGCDPPDJ_03914,T,Environmental Adaptation
OGCDPPDJ_03915,T,Environmental Adaptation
OGCDPPDJ_03921,EGP,Stress Response
OGCDPPDJ_03923,O,Stress Response
OGCDPPDJ_03924,U,Environmental Adaptation
OGCDPPDJ_03925,U,Environmental Adaptation
OGCDPPDJ_03926,P,Stress Response
OGCDPPDJ_03927,T,Environmental Adaptation
OGCDPPDJ_03931,V,Stress Response
OGCDPPDJ_03932,T,Environmental Adaptation
OGCDPPDJ_03933,T,Environmental Adaptation
OGCDPPDJ_03943,T,Environmental Adaptation
OGCDPPDJ_03944,T,Environmental Adaptation
OGCDPPDJ_03980,Q,Environmental Adaptation
OGCDPPDJ_03981,V,Stress Response
OGCDPPDJ_03987,KLT,Both
OGCDPPDJ_03989,T,Environmental Adaptation
OGCDPPDJ_03990,T,Environmental Adaptation
OGCDPPDJ_03992,CO,Stress Response
OGCDPPDJ_03995,V,Stress Response
OGCDPPDJ_03996,V,Stress Response
OGCDPPDJ_03999,EGP,Stress Response
OGCDPPDJ_04004,P,Stress Response
OGCDPPDJ_04006,CP,Stress Response
OGCDPPDJ_04024,V,Stress Response
OGCDPPDJ_04028,P,Stress Response
OGCDPPDJ_04029,P,Stress Response
OGCDPPDJ_04030,P,Stress Response
OGCDPPDJ_04034,P,Stress Response
OGCDPPDJ_04040,O,Stress Response
OGCDPPDJ_04042,O,Stress Response
OGCDPPDJ_04046,U,Environmental Adaptation
OGCDPPDJ_04047,U,Environmental Adaptation
OGCDPPDJ_04050,O,Stress Response
OGCDPPDJ_04051,O,Stress Response
OGCDPPDJ_04057,KT,Environmental Adaptation
OGCDPPDJ_04058,L,Stress Response
OGCDPPDJ_04062,U,Environmental Adaptation
OGCDPPDJ_04065,U,Environmental Adaptation
OGCDPPDJ_04070,Q,Environmental Adaptation
OGCDPPDJ_04072,P,Stress Response
OGCDPPDJ_04104,L,Stress Response
OGCDPPDJ_04105,L,Stress Response
OGCDPPDJ_04114,V,Stress Response
OGCDPPDJ_04125,L,Stress Response
OGCDPPDJ_04127,L,Stress Response
OGCDPPDJ_04129,CO,Stress Response
OGCDPPDJ_04130,CO,Stress Response
OGCDPPDJ_04141,P,Stress Response
OGCDPPDJ_04144,T,Environmental Adaptation
OGCDPPDJ_04148,P,Stress Response
OGCDPPDJ_04167,T,Environmental Adaptation
OGCDPPDJ_04183,P,Stress Response
OGCDPPDJ_04187,NT,Environmental Adaptation
OGCDPPDJ_04191,EGP,Stress Response
OGCDPPDJ_04195,L,Stress Response
OGCDPPDJ_04198,P,Stress Response
OGCDPPDJ_04199,P,Stress Response
OGCDPPDJ_04200,P,Stress Response
OGCDPPDJ_04201,P,Stress Response
OGCDPPDJ_04205,P,Stress Response
OGCDPPDJ_04206,T,Environmental Adaptation
OGCDPPDJ_04207,T,Environmental Adaptation
OGCDPPDJ_04232,EGP,Stress Response
OGCDPPDJ_04234,T,Environmental Adaptation
OGCDPPDJ_04238,EGP,Stress Response
OGCDPPDJ_04239,P,Stress Response
OGCDPPDJ_04246,P,Stress Response
OGCDPPDJ_04247,L,Stress Response
OGCDPPDJ_04257,KQ,Environmental Adaptation
OGCDPPDJ_04268,V,Stress Response
OGCDPPDJ_04269,V,Stress Response
OGCDPPDJ_04273,U,Environmental Adaptation
OGCDPPDJ_04277,T,Environmental Adaptation
OGCDPPDJ_04278,KT,Environmental Adaptation
OGCDPPDJ_04279,V,Stress Response
OGCDPPDJ_04280,V,Stress Response
OGCDPPDJ_04281,V,Stress Response
OGCDPPDJ_04286,EGP,Stress Response
OGCDPPDJ_04288,EGP,Stress Response
OGCDPPDJ_04291,P,Stress Response
OGCDPPDJ_04292,P,Stress Response
OGCDPPDJ_04293,P,Stress Response
OGCDPPDJ_04302,EGP,Stress Response
OGCDPPDJ_04305,T,Environmental Adaptation
OGCDPPDJ_04311,L,Stress Response
OGCDPPDJ_04313,IQ,Environmental Adaptation
OGCDPPDJ_04317,V,Stress Response
OGCDPPDJ_04320,O,Stress Response
OGCDPPDJ_04321,P,Stress Response
OGCDPPDJ_04330,Q,Environmental Adaptation
OGCDPPDJ_04334,P,Stress Response
OGCDPPDJ_04335,P,Stress Response
OGCDPPDJ_04336,P,Stress Response
OGCDPPDJ_04345,U,Environmental Adaptation
OGCDPPDJ_04381,U,Environmental Adaptation
OGCDPPDJ_04392,L,Stress Response
OGCDPPDJ_04393,O,Stress Response
OGCDPPDJ_04394,O,Stress Response
OGCDPPDJ_04408,O,Stress Response
OGCDPPDJ_04409,O,Stress Response
OGCDPPDJ_04411,O,Stress Response
OGCDPPDJ_04414,KLT,Both
OGCDPPDJ_04416,KT,Environmental Adaptation
OGCDPPDJ_04427,L,Stress Response
OGCDPPDJ_04442,T,Environmental Adaptation
OGCDPPDJ_04443,L,Stress Response
OGCDPPDJ_04447,L,Stress Response
OGCDPPDJ_04449,L,Stress Response
OGCDPPDJ_04451,L,Stress Response
OGCDPPDJ_04456,P,Stress Response
OGCDPPDJ_04462,L,Stress Response
OGCDPPDJ_04464,L,Stress Response
OGCDPPDJ_04466,Q,Environmental Adaptation
OGCDPPDJ_04479,P,Stress Response
